Flight No.,Launch site,Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Payload,Version Booster,Date,Time
1,CCAFS,0,LEO,SpaceX,"Success
",Failure,Dragon Spacecraft Qualification Unit,F9 v1.0B0003.1,4 June 2010,18:45
2,CCAFS,0,LEO,"NASA (COTS)
NRO",Success,Failure,Dragon,F9 v1.0B0004.1,8 December 2010,15:43
3,CCAFS,525 kg,LEO,NASA (COTS),Success,"No attempt
",Dragon,F9 v1.0B0005.1,22 May 2012,07:44
4,CCAFS,"4,700 kg",LEO,NASA (CRS),"Success
",No attempt,SpaceX CRS-1,F9 v1.0B0006.1,8 October 2012,00:35
5,CCAFS,"4,877 kg",LEO,NASA (CRS),"Success
","No attempt
",SpaceX CRS-2,F9 v1.0B0007.1,1 March 2013,15:10
6,VAFB,500 kg,Polar orbit,MDA,Success,Uncontrolled,CASSIOPE,F9 v1.1B1003,29 September 2013,16:00
7,CCAFS,"3,170 kg",GTO,SES,Success,No attempt,SES-8,F9 v1.1,3 December 2013,22:41
8,CCAFS,"3,325 kg",GTO,Thaicom,Success,No attempt,Thaicom 6,F9 v1.1,6 January 2014,22:06
9,Cape Canaveral,"2,296 kg",LEO,NASA (CRS),"Success
",Controlled,SpaceX CRS-3,F9 v1.1,18 April 2014,19:25
10,Cape Canaveral,"1,316 kg",LEO,Orbcomm,Success,Controlled,Orbcomm-OG2,F9 v1.1,14 July 2014,15:15
11,Cape Canaveral,"4,535 kg",GTO,AsiaSat,Success,No attempt,AsiaSat 8,F9 v1.1,5 August 2014,08:00
12,Cape Canaveral,"4,428 kg",GTO,AsiaSat,Success,"No attempt
",AsiaSat 6,F9 v1.1,7 September 2014,05:00
13,Cape Canaveral,"2,216 kg",LEO,NASA (CRS),Success,Uncontrolled,SpaceX CRS-4,F9 v1.1,21 September 2014,05:52
14,Cape Canaveral,"2,395 kg",LEO,NASA (CRS),Success,Failure ,SpaceX CRS-5,F9 v1.1,10 January 2015,09:47
15,Cape Canaveral,570 kg,HEO,"USAF
NASA
NOAA","Success
",Controlled,DSCOVR,F9 v1.1,11 February 2015,23:03
16,Cape Canaveral,"4,159 kg",GTO,"ABS
Eutelsat","Success
",No attempt,ABS-3A,F9 v1.1,2 March 2015,03:50
17,Cape Canaveral,"1,898 kg",LEO,NASA (CRS),"Success
",Failure,SpaceX CRS-6,F9 v1.1,14 April 2015,20:10
18,Cape Canaveral,"4,707 kg",GTO,Turkmenistan NationalSpace Agency[88],"Success
",No attempt,TürkmenÄlem 52°E / MonacoSAT,F9 v1.1,27 April 2015,23:03
19,Cape Canaveral,"1,952 kg",LEO,NASA (CRS),Failure,Precluded,SpaceX CRS-7,F9 v1.1,28 June 2015,14:21
20,Cape Canaveral,"2,034 kg",LEO,Orbcomm,"Success
",Success,Orbcomm-OG2,F9 FT,22 December 2015,01:29
21,VAFB,553 kg,LEO,"NASA (LSP)
NOAA
CNES","Success
",Failure,Jason-3,F9 v1.1,17 January 2016,18:42
22,Cape Canaveral,"5,271 kg",GTO,SES,"Success
",Failure,SES-9,F9 FT,4 March 2016,23:35
23,Cape Canaveral,"3,136 kg",LEO,NASA (CRS),Success,Success,SpaceX CRS-8,F9 FT,8 April 2016,20:43
24,Cape Canaveral,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",Success,JCSAT-14,F9 FT,6 May 2016,05:21
25,Cape Canaveral,"3,100 kg",GTO,Thaicom,"Success
",Success,Thaicom 8,F9 FT,27 May 2016,21:39
26,Cape Canaveral,"3,600 kg",GTO,"ABS
Eutelsat","Success
",Failure,ABS-2A,F9 FT,15 June 2016,14:29
27,Cape Canaveral,"2,257 kg",LEO,NASA (CRS),"Success
",Success,SpaceX CRS-9,F9 FT,18 July 2016,04:45
28,Cape Canaveral,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",Success,JCSAT-16,F9 FT,14 August 2016,05:26
29,VAFB,"9,600 kg",Polar,Iridium Communications,"Success
",Success,Iridium NEXT,F9 FT,14 January 2017,17:54
30,KSC,"2,490 kg",LEO,NASA (CRS),"Success
",Success,SpaceX CRS-10,F9 FT,19 February 2017,14:39
31,KSC,"5,600 kg",GTO,EchoStar,"Success
",No attempt,EchoStar 23,F9 FT,16 March 2017,06:00
32,KSC,"5,300 kg",GTO,SES,Success,Success,SES-10,F9 FT♺,30 March 2017,22:27
33,KSC,C,LEO,NRO,"Success
",Success,NROL-76,F9 FT,1 May 2017,11:15
34,KSC,"6,070 kg",GTO,Inmarsat,"Success
",No attempt,Inmarsat-5 F4,F9 FT,15 May 2017,23:21
35,KSC,"2,708 kg",LEO,NASA (CRS),"Success
",Success,SpaceX CRS-11,F9 FT,3 June 2017,21:07
36,KSC,"3,669 kg",GTO,Bulsatcom,"Success
",Success,BulgariaSat-1,F9 FTB1029.2,23 June 2017,19:10
37,VAFB,"9,600 kg",LEO,Iridium Communications,"Success
",Success,Iridium NEXT,F9 FT,25 June 2017,20:25
38,KSC,"6,761 kg",GTO,Intelsat,"Success
",No attempt,Intelsat 35e,F9 FT,5 July 2017,23:38
39,KSC,"3,310 kg",LEO,NASA (CRS),"Success
",Success,SpaceX CRS-12,F9 B4,14 August 2017,16:31
40,VAFB,475 kg,SSO,NSPO,"Success
",Success,Formosat-5,F9 FT,24 August 2017,18:51
41,KSC,"4,990 kg",LEO,USAF,"Success
",Success,Boeing X-37B,F9 B4,7 September 2017,14:00
42,VAFB,"9,600 kg",Polar,Iridium Communications,"Success
",Success,Iridium NEXT,F9 B4,9 October 2017,12:37
43,KSC,"5,200 kg",GTO,"SES S.A.
EchoStar","Success
",Success,SES-11,F9 FTB1031.2,11 October 2017,22:53:00
44,KSC,"3,500 kg",GTO,KT Corporation,"Success
",Success,Koreasat 5A,F9 B4,30 October 2017,19:34
45,Cape Canaveral,"2,205 kg",LEO,NASA (CRS),"Success
",Success,SpaceX CRS-13,F9 FTB1035.2,15 December 2017,15:36
46,VAFB,"9,600 kg",Polar,Iridium Communications,Success,Controlled,Iridium NEXT,F9 FTB1036.2,23 December 2017,01:27
47,CCAFS,C,LEO,Northrop Grumman [f][238],Success,Success,Zuma,F9 B4,8 January 2018,01:00
48,CCAFS,"4,230 kg",GTO,SES,Success,Controlled,GovSat-1,F9 FTB1032.2,31 January 2018,21:25
49,VAFB,"2,150 kg",SSO,"Hisdesat
exactEarth
SpaceX",Success,No attempt,Paz,F9 FTB1038.2,22 February 2018,14:17
50,CCAFS,"6,092 kg",GTO,"Hispasat[277]
NovaWurks",Success,No attempt,Hispasat 30W-6,F9 B4,6 March 2018,05:33
